q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,output
0,7,0,5,0,8,3,6,5,0,0,0,0,5,0,5,5,5,5,5,0,8,7,5,0,0
7,0,5,0,6,3,6,5,0,0,0,0,5,0,3,5,5,5,5,5,8,7,5,0,3,5
0,5,0,6,0,6,5,0,0,0,0,5,0,3,0,5,5,5,5,5,7,5,0,3,0,0
5,0,6,0,5,5,0,0,0,5,5,0,3,0,5,5,5,5,5,5,5,0,3,0,5,0
0,6,0,5,7,0,0,0,5,0,0,3,0,5,0,5,5,5,5,5,0,3,0,5,0,0
6,0,5,7,0,0,0,5,0,8,3,0,5,0,0,5,5,5,5,5,3,0,5,0,0,5
0,5,7,0,0,0,5,0,8,0,0,5,0,0,0,5,5,5,5,5,0,5,0,0,7,0
5,7,0,0,0,5,0,8,0,0,5,0,0,0,0,5,5,5,5,0,5,0,0,7,0,0
7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,7,0,0,0
0,0,8,3,6,0,0,0,0,0,0,0,5,5,5,0,0,0,8,7,0,0,0,0,0,5
0,8,3,6,5,0,0,0,0,5,0,5,5,5,5,0,0,8,7,5,0,0,0,0,5,5
8,3,6,5,0,0,0,0,5,0,5,5,5,5,5,0,8,7,5,0,0,0,0,5,8,5
3,6,5,0,0,0,0,5,0,3,5,5,5,5,5,8,7,5,0,3,0,0,5,8,0,5
6,5,0,0,0,0,5,0,3,0,5,5,5,5,5,7,5,0,3,0,0,5,8,0,0,5
5,0,0,0,5,5,0,3,0,5,5,5,5,5,5,5,0,3,0,5,5,8,0,0,5,5
0,0,0,5,0,0,3,0,5,0,5,5,5,5,5,0,3,0,5,0,8,0,0,5,0,5
0,0,5,0,8,3,0,5,0,0,5,5,5,5,5,3,0,5,0,0,0,0,5,0,8,5
0,5,0,8,0,0,5,0,0,0,5,5,5,5,5,0,5,0,0,7,0,5,0,8,6,5
5,0,8,0,0,5,0,0,0,0,5,5,5,5,0,5,0,0,7,0,5,0,8,6,0,5
0,8,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,7,0,0,0,8,6,0,0,5
0,0,0,0,0,0,0,5,5,5,0,0,0,8,7,0,0,0,0,0,0,0,0,0,6,0
0,0,0,0,5,0,5,5,5,5,0,0,8,7,5,0,0,0,0,5,0,0,0,6,5,0
0,0,0,5,0,5,5,5,5,5,0,8,7,5,0,0,0,0,5,8,0,0,6,5,0,0
0,0,5,0,3,5,5,5,5,5,8,7,5,0,3,0,0,5,8,0,0,6,5,0,0,5
0,5,0,3,0,5,5,5,5,5,7,5,0,3,0,0,5,8,0,0,6,5,0,0,0,0
5,0,3,0,5,5,5,5,5,5,5,0,3,0,5,5,8,0,0,5,5,0,0,0,5,0
0,3,0,5,0,5,5,5,5,5,0,3,0,5,0,8,0,0,5,0,0,0,0,5,3,0
3,0,5,0,0,5,5,5,5,5,3,0,5,0,0,0,0,5,0,8,0,0,5,3,0,5
0,5,0,0,0,5,5,5,5,5,0,5,0,0,7,0,5,0,8,6,0,5,3,0,0,0
5,0,0,0,0,5,5,5,5,0,5,0,0,7,0,5,0,8,6,0,5,3,0,0,0,0
0,0,0,0,0,5,5,5,0,0,0,0,7,0,0,0,8,6,0,0,3,0,0,0,0,0
0,0,5,5,5,0,0,0,8,7,0,0,0,0,0,0,0,0,0,6,0,0,5,5,5,4
0,5,5,5,5,0,0,8,7,5,0,0,0,0,5,0,0,0,6,5,0,5,5,5,5,0
5,5,5,5,5,0,8,7,5,0,0,0,0,5,8,0,0,6,5,0,5,5,5,5,5,8
5,5,5,5,5,8,7,5,0,3,0,0,5,8,0,0,6,5,0,0,5,5,5,5,5,5
5,5,5,5,5,7,5,0,3,0,0,5,8,0,0,6,5,0,0,0,5,5,5,5,5,0
5,5,5,5,5,5,0,3,0,5,5,8,0,0,5,5,0,0,0,5,5,5,5,5,5,0
5,5,5,5,5,0,3,0,5,0,8,0,0,5,0,0,0,0,5,3,5,5,5,5,5,0
5,5,5,5,5,3,0,5,0,0,0,0,5,0,8,0,0,5,3,0,5,5,5,5,5,5
5,5,5,5,5,0,5,0,0,7,0,5,0,8,6,0,5,3,0,0,5,5,5,5,5,0
5,5,5,5,0,5,0,0,7,0,5,0,8,6,0,5,3,0,0,0,5,5,5,5,0,0
5,5,5,0,0,0,0,7,0,0,0,8,6,0,0,3,0,0,0,0,5,5,5,0,0,0
0,0,0,8,7,0,0,0,0,0,0,0,0,0,6,0,0,5,5,5,0,0,0,6,0,0
0,0,8,7,5,0,0,0,0,5,0,0,0,6,5,0,5,5,5,5,0,0,6,0,5,6
0,8,7,5,0,0,0,0,5,8,0,0,6,5,0,5,5,5,5,5,0,6,0,5,0,7
8,7,5,0,3,0,0,5,8,0,0,6,5,0,0,5,5,5,5,5,6,0,5,0,8,5
7,5,0,3,0,0,5,8,0,0,6,5,0,0,0,5,5,5,5,5,0,5,0,8,0,0
5,0,3,0,5,5,8,0,0,5,5,0,0,0,5,5,5,5,5,5,5,0,8,0,5,0
0,3,0,5,0,8,0,0,5,0,0,0,0,5,3,5,5,5,5,5,0,8,0,5,0,0
3,0,5,0,0,0,0,5,0,8,0,0,5,3,0,5,5,5,5,5,8,0,5,0,0,5
0,5,0,0,7,0,5,0,8,6,0,5,3,0,0,5,5,5,5,5,0,5,0,0,0,0
5,0,0,7,0,5,0,8,6,0,5,3,0,0,0,5,5,5,5,0,5,0,0,0,0,0
0,0,7,0,0,0,8,6,0,0,3,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6,0,0,5,5,5,0,0,0,6,0,0,0,8,0,0,5
0,0,0,0,5,0,0,0,6,5,0,5,5,5,5,0,0,6,0,5,0,8,0,0,5,5
0,0,0,5,8,0,0,6,5,0,5,5,5,5,5,0,6,0,5,0,8,0,0,5,3,5
0,0,5,8,0,0,6,5,0,0,5,5,5,5,5,6,0,5,0,8,0,0,5,3,0,5
0,5,8,0,0,6,5,0,0,0,5,5,5,5,5,0,5,0,8,0,0,5,3,0,0,5
5,8,0,0,5,5,0,0,0,5,5,5,5,5,5,5,0,8,0,5,5,3,0,0,5,5
8,0,0,5,0,0,0,0,5,3,5,5,5,5,5,0,8,0,5,0,3,0,0,5,4,5
0,0,5,0,8,0,0,5,3,0,5,5,5,5,5,8,0,5,0,0,0,0,5,4,0,5
0,5,0,8,6,0,5,3,0,0,5,5,5,5,5,0,5,0,0,0,0,5,4,0,8,5
5,0,8,6,0,5,3,0,0,0,5,5,5,5,0,5,0,0,0,0,5,4,0,8,0,5
0,8,6,0,0,3,0,0,0,0,5,5,5,0,0,0,0,0,0,0,4,0,8,0,0,5
0,0,0,0,6,0,0,5,5,5,0,0,0,6,0,0,0,8,0,0,0,0,0,7,0,0
0,0,0,6,5,0,5,5,5,5,0,0,6,0,5,0,8,0,0,5,0,0,7,0,5,0
0,0,6,5,0,5,5,5,5,5,0,6,0,5,0,8,0,0,5,3,0,7,0,5,0,0
0,6,5,0,0,5,5,5,5,5,6,0,5,0,8,0,0,5,3,0,7,0,5,0,6,5
6,5,0,0,0,5,5,5,5,5,0,5,0,8,0,0,5,3,0,0,0,5,0,6,0,0
5,0,0,0,5,5,5,5,5,5,5,0,8,0,5,5,3,0,0,5,5,0,6,0,5,0
0,0,0,5,3,5,5,5,5,5,0,8,0,5,0,3,0,0,5,4,0,6,0,5,0,0
0,0,5,3,0,5,5,5,5,5,8,0,5,0,0,0,0,5,4,0,6,0,5,0,6,5
0,5,3,0,0,5,5,5,5,5,0,5,0,0,0,0,5,4,0,8,0,5,0,6,7,0
5,3,0,0,0,5,5,5,5,0,5,0,0,0,0,5,4,0,8,0,5,0,6,7,0,0
3,0,0,0,0,5,5,5,0,0,0,0,0,0,0,4,0,8,0,0,0,6,7,0,0,0
0,0,5,5,5,0,0,0,6,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0
0,5,5,5,5,0,0,6,0,5,0,8,0,0,5,0,0,7,0,5,0,0,0,0,0,0
5,5,5,5,5,0,6,0,5,0,8,0,0,5,3,0,7,0,5,0,0,0,0,0,0,0
5,5,5,5,5,6,0,5,0,8,0,0,5,3,0,7,0,5,0,6,0,0,0,0,0,5
5,5,5,5,5,0,5,0,8,0,0,5,3,0,0,0,5,0,6,0,0,0,0,0,0,0
5,5,5,5,5,5,0,8,0,5,5,3,0,0,5,5,0,6,0,5,0,0,0,0,0,0
5,5,5,5,5,0,8,0,5,0,3,0,0,5,4,0,6,0,5,0,0,0,0,0,0,0
5,5,5,5,5,8,0,5,0,0,0,0,5,4,0,6,0,5,0,6,0,0,0,0,0,5
5,5,5,5,5,0,5,0,0,0,0,5,4,0,8,0,5,0,6,7,0,0,0,0,0,0
5,5,5,5,0,5,0,0,0,0,5,4,0,8,0,5,0,6,7,0,0,0,0,0,0,0
5,5,5,0,0,0,0,0,0,0,4,0,8,0,0,0,6,7,0,0,0,0,0,0,0,0
0,0,0,6,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6,0,5,0,8,0,0,5,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0
0,6,0,5,0,8,0,0,5,3,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,5,0,8,0,0,5,3,0,7,0,5,0,6,0,0,0,0,0,0,0,0,0,0,5
0,5,0,8,0,0,5,3,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0
5,0,8,0,5,5,3,0,0,5,5,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0
0,8,0,5,0,3,0,0,5,4,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
8,0,5,0,0,0,0,5,4,0,6,0,5,0,6,0,0,0,0,0,0,0,0,0,0,5
0,5,0,0,0,0,5,4,0,8,0,5,0,6,7,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,5,4,0,8,0,5,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4,0,8,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,2,0,5,0,0,0,0,5,0
0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,2,0,5,0,0,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,0,5,0,3,0,0,5,0,0,5
0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,5,0,3,0,0,5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5,0,1,0,5,5,0,3,0,5,5,0,0,0,5,4
0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,3,0,5,0,0,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,3,0,5,0,6,0,0,5,0,0,5
0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,5,0,6,0,0,5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,5,0,6,0,0,5,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,5,5,0
0,0,0,0,0,0,3,0,0,5,0,0,2,0,5,0,0,0,0,5,0,5,5,5,5,0
0,0,0,0,0,3,0,0,5,0,0,2,0,5,0,0,0,0,5,0,5,5,5,5,5,0
0,0,0,0,0,0,0,5,0,1,2,0,5,0,3,0,0,5,0,0,5,5,5,5,5,5
0,0,0,0,0,0,5,0,1,0,0,5,0,3,0,0,5,0,0,0,5,5,5,5,5,0
0,0,0,0,0,5,0,1,0,5,5,0,3,0,5,5,0,0,0,5,5,5,5,5,5,7
0,0,0,0,0,0,1,0,5,0,0,3,0,5,0,0,0,0,5,0,5,5,5,5,5,0
0,0,0,0,0,1,0,5,0,0,3,0,5,0,6,0,0,5,0,0,5,5,5,5,5,5
0,0,0,0,0,0,5,0,0,2,0,5,0,6,0,0,5,0,0,0,5,5,5,5,5,0
0,0,0,0,0,5,0,0,2,0,5,0,6,0,0,5,0,0,0,0,5,5,5,5,0,0
0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,5,5,5,0,0,0
0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,5,5,0,0,0,1,0,0
0,3,0,0,5,0,0,2,0,5,0,0,0,0,5,0,5,5,5,5,0,0,1,0,5,0
3,0,0,5,0,0,2,0,5,0,0,0,0,5,0,5,5,5,5,5,0,1,0,5,0,0
0,0,5,0,1,2,0,5,0,3,0,0,5,0,0,5,5,5,5,5,1,0,5,0,0,5
0,5,0,1,0,0,5,0,3,0,0,5,0,0,0,5,5,5,5,5,0,5,0,0,0,0
5,0,1,0,5,5,0,3,0,5,5,0,0,0,5,5,5,5,5,5,5,0,0,0,5,3
0,1,0,5,0,0,3,0,5,0,0,0,0,5,0,5,5,5,5,5,0,0,0,5,0,0
1,0,5,0,0,3,0,5,0,6,0,0,5,0,0,5,5,5,5,5,0,0,5,0,3,5
0,5,0,0,2,0,5,0,6,0,0,5,0,0,0,5,5,5,5,5,0,5,0,3,0,0
5,0,0,2,0,5,0,6,0,0,5,0,0,0,0,5,5,5,5,0,5,0,3,0,0,0
0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,5,5,5,0,0,0,3,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,5,5,5,0,0,0,1,0,0,0,7,0,6,5
0,0,2,0,5,0,0,0,0,5,0,5,5,5,5,0,0,1,0,5,0,7,0,6,5,5
0,2,0,5,0,0,0,0,5,0,5,5,5,5,5,0,1,0,5,0,7,0,6,5,2,5
2,0,5,0,3,0,0,5,0,0,5,5,5,5,5,1,0,5,0,0,0,6,5,2,0,5
0,5,0,3,0,0,5,0,0,0,5,5,5,5,5,0,5,0,0,0,6,5,2,0,7,5
5,0,3,0,5,5,0,0,0,5,5,5,5,5,5,5,0,0,0,5,5,2,0,7,5,5
0,3,0,5,0,0,0,0,5,0,5,5,5,5,5,0,0,0,5,0,2,0,7,5,0,5
3,0,5,0,6,0,0,5,0,0,5,5,5,5,5,0,0,5,0,3,0,7,5,0,7,5
0,5,0,6,0,0,5,0,0,0,5,5,5,5,5,0,5,0,3,0,7,5,0,7,0,5
5,0,6,0,0,5,0,0,0,0,5,5,5,5,0,5,0,3,0,0,5,0,7,0,0,5
0,6,0,0,0,0,0,0,0,0,5,5,5,0,0,0,3,0,0,0,0,7,0,0,0,5
0,0,0,0,0,0,0,5,5,5,0,0,0,1,0,0,0,7,0,6,0,0,0,0,0,0
0,0,0,0,5,0,5,5,5,5,0,0,1,0,5,0,7,0,6,5,0,0,0,0,5,0
0,0,0,5,0,5,5,5,5,5,0,1,0,5,0,7,0,6,5,2,0,0,0,5,0,0
0,0,5,0,0,5,5,5,5,5,1,0,5,0,0,0,6,5,2,0,0,0,5,0,0,5
0,5,0,0,0,5,5,5,5,5,0,5,0,0,0,6,5,2,0,7,0,5,0,0,0,0
5,0,0,0,5,5,5,5,5,5,5,0,0,0,5,5,2,0,7,5,5,0,0,0,5,0
0,0,0,5,0,5,5,5,5,5,0,0,0,5,0,2,0,7,5,0,0,0,0,5,0,0
0,0,5,0,0,5,5,5,5,5,0,0,5,0,3,0,7,5,0,7,0,0,5,0,6,5
0,5,0,0,0,5,5,5,5,5,0,5,0,3,0,7,5,0,7,0,0,5,0,6,0,0
5,0,0,0,0,5,5,5,5,0,5,0,3,0,0,5,0,7,0,0,5,0,6,0,0,0
0,0,0,0,0,5,5,5,0,0,0,3,0,0,0,0,7,0,0,0,0,6,0,0,0,0
0,0,5,5,5,0,0,0,1,0,0,0,7,0,6,0,0,0,0,0,0,0,5,5,5,0
0,5,5,5,5,0,0,1,0,5,0,7,0,6,5,0,0,0,0,5,0,5,5,5,5,0
5,5,5,5,5,0,1,0,5,0,7,0,6,5,2,0,0,0,5,0,5,5,5,5,5,0
5,5,5,5,5,1,0,5,0,0,0,6,5,2,0,0,0,5,0,0,5,5,5,5,5,5
5,5,5,5,5,0,5,0,0,0,6,5,2,0,7,0,5,0,0,0,5,5,5,5,5,0
5,5,5,5,5,5,0,0,0,5,5,2,0,7,5,5,0,0,0,5,5,5,5,5,5,0
5,5,5,5,5,0,0,0,5,0,2,0,7,5,0,0,0,0,5,0,5,5,5,5,5,0
5,5,5,5,5,0,0,5,0,3,0,7,5,0,7,0,0,5,0,6,5,5,5,5,5,5
5,5,5,5,5,0,5,0,3,0,7,5,0,7,0,0,5,0,6,0,5,5,5,5,5,0
5,5,5,5,0,5,0,3,0,0,5,0,7,0,0,5,0,6,0,0,5,5,5,5,0,0
5,5,5,0,0,0,3,0,0,0,0,7,0,0,0,0,6,0,0,0,5,5,5,0,0,0
0,0,0,1,0,0,0,7,0,6,0,0,0,0,0,0,0,5,5,5,0,0,7,0,0,0
0,0,1,0,5,0,7,0,6,5,0,0,0,0,5,0,5,5,5,5,0,7,0,0,5,0
0,1,0,5,0,7,0,6,5,2,0,0,0,5,0,5,5,5,5,5,7,0,0,5,0,0
1,0,5,0,0,0,6,5,2,0,0,0,5,0,0,5,5,5,5,5,0,0,5,0,4,5
0,5,0,0,0,6,5,2,0,7,0,5,0,0,0,5,5,5,5,5,0,5,0,4,0,0
5,0,0,0,5,5,2,0,7,5,5,0,0,0,5,5,5,5,5,5,5,0,4,0,5,0
0,0,0,5,0,2,0,7,5,0,0,0,0,5,0,5,5,5,5,5,0,4,0,5,0,0
0,0,5,0,3,0,7,5,0,7,0,0,5,0,6,5,5,5,5,5,4,0,5,0,0,5
0,5,0,3,0,7,5,0,7,0,0,5,0,6,0,5,5,5,5,5,0,5,0,0,3,0
5,0,3,0,0,5,0,7,0,0,5,0,6,0,0,5,5,5,5,0,5,0,0,3,0,0
0,3,0,0,0,0,7,0,0,0,0,6,0,0,0,5,5,5,0,0,0,0,3,0,0,0
0,0,7,0,6,0,0,0,0,0,0,0,5,5,5,0,0,7,0,0,0,0,0,0,0,5
0,7,0,6,5,0,0,0,0,5,0,5,5,5,5,0,7,0,0,5,0,0,0,0,5,5
7,0,6,5,2,0,0,0,5,0,5,5,5,5,5,7,0,0,5,0,0,0,0,5,0,5
0,6,5,2,0,0,0,5,0,0,5,5,5,5,5,0,0,5,0,4,0,0,5,0,7,5
6,5,2,0,7,0,5,0,0,0,5,5,5,5,5,0,5,0,4,0,0,5,0,7,0,5
5,2,0,7,5,5,0,0,0,5,5,5,5,5,5,5,0,4,0,5,5,0,7,0,5,5
2,0,7,5,0,0,0,0,5,0,5,5,5,5,5,0,4,0,5,0,0,7,0,5,2,5
0,7,5,0,7,0,0,5,0,6,5,5,5,5,5,4,0,5,0,0,7,0,5,2,0,5
7,5,0,7,0,0,5,0,6,0,5,5,5,5,5,0,5,0,0,3,0,5,2,0,0,5
5,0,7,0,0,5,0,6,0,0,5,5,5,5,0,5,0,0,3,0,5,2,0,0,0,5
0,7,0,0,0,0,6,0,0,0,5,5,5,0,0,0,0,3,0,0,2,0,0,0,0,5
0,0,0,0,0,0,0,5,5,5,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0
0,0,0,0,5,0,5,5,5,5,0,7,0,0,5,0,0,0,0,5,0,0,3,0,5,0
0,0,0,5,0,5,5,5,5,5,7,0,0,5,0,0,0,0,5,0,0,3,0,5,0,0
0,0,5,0,0,5,5,5,5,5,0,0,5,0,4,0,0,5,0,7,3,0,5,0,3,5
0,5,0,0,0,5,5,5,5,5,0,5,0,4,0,0,5,0,7,0,0,5,0,3,0,0
5,0,0,0,5,5,5,5,5,5,5,0,4,0,5,5,0,7,0,5,5,0,3,0,5,0
0,0,0,5,0,5,5,5,5,5,0,4,0,5,0,0,7,0,5,2,0,3,0,5,0,0
0,0,5,0,6,5,5,5,5,5,4,0,5,0,0,7,0,5,2,0,3,0,5,0,0,5
0,5,0,6,0,5,5,5,5,5,0,5,0,0,3,0,5,2,0,0,0,5,0,0,6,0
5,0,6,0,0,5,5,5,5,0,5,0,0,3,0,5,2,0,0,0,5,0,0,6,0,0
0,6,0,0,0,5,5,5,0,0,0,0,3,0,0,2,0,0,0,0,0,0,6,0,0,0
0,0,5,5,5,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0,5,5,5,5,0,7,0,0,5,0,0,0,0,5,0,0,3,0,5,0,0,0,0,0,0
5,5,5,5,5,7,0,0,5,0,0,0,0,5,0,0,3,0,5,0,0,0,0,0,0,0
5,5,5,5,5,0,0,5,0,4,0,0,5,0,7,3,0,5,0,3,0,0,0,0,0,5
5,5,5,5,5,0,5,0,4,0,0,5,0,7,0,0,5,0,3,0,0,0,0,0,0,0
5,5,5,5,5,5,0,4,0,5,5,0,7,0,5,5,0,3,0,5,0,0,0,0,0,0
5,5,5,5,5,0,4,0,5,0,0,7,0,5,2,0,3,0,5,0,0,0,0,0,0,0
5,5,5,5,5,4,0,5,0,0,7,0,5,2,0,3,0,5,0,0,0,0,0,0,0,5
5,5,5,5,5,0,5,0,0,3,0,5,2,0,0,0,5,0,0,6,0,0,0,0,0,0
5,5,5,5,0,5,0,0,3,0,5,2,0,0,0,5,0,0,6,0,0,0,0,0,0,0
5,5,5,0,0,0,0,3,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,7,0,0,5,0,0,0,0,5,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0
7,0,0,5,0,0,0,0,5,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,4,0,0,5,0,7,3,0,5,0,3,0,0,0,0,0,0,0,0,0,0,5
0,5,0,4,0,0,5,0,7,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0
5,0,4,0,5,5,0,7,0,5,5,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0
0,4,0,5,0,0,7,0,5,2,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0
4,0,5,0,0,7,0,5,2,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5
0,5,0,0,3,0,5,2,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0
5,0,0,3,0,5,2,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
